Id;RawCoord1;RawCoord2;RawCoord3;RawCoord4;RawCoord5;RawCoord6;RawCoord7;RawCoord8;RawCoord9;RawCoord10;RawCoord11;RawCoord12;RawCoord13;RawCoord14;RawCoord15;RawCoord16;RawCoord17;RawCoord18;RawCoord19;RawCoord20;RawCoord21;RawCoord22;RawCoord23;RawCoord24;RawCoord25;RawCoord26;RawCoord27;RawCoord28;RawCoord29;RawCoord30;RawCoord31;RawCoord32;RawCoord33;RawCoord34;RawCoord35;RawCoord36;RawCoord37;RawCoord38;RawCoord39;RawCoord40;RawCoord41;RawCoord42;RawCoord43;RawCoord44;RawCoord45;RawCoord46;RawCoord47;RawCoord48;RawCoord49;RawCoord50;RawCoord51;RawCoord52;RawCoord53;RawCoord54;RawCoord55;RawCoord56;RawCoord57;RawCoord58;RawCoord59;RawCoord60;RawCoord61;RawCoord62;RawCoord63;RawCoord64;RawCoord65;RawCoord66;RawCoord67;RawCoord68;RawCoord69;RawCoord70;RawCoord71;RawCoord72
Antilocapra-americana-FM13877(4);22.017857;-13.674594;-61.854546;33.255058;-20.681721;-59.049137;15.461588;-19.512909;-56.705193;24.23394;-12.849627;-50.293617;15.013517;-34.504761;-59.212662;31.884628;-27.602772;-45.075981;15.125243;-47.338989;-54.640312;30.179604;-56.780762;-48.642654;14.585933;-61.541508;-55.418823;13.856475;-75.027618;-43.325928;43.01963;-34.753586;-24.057652;27.514889;-65.351868;-5.0137787;11.271995;-71.769485;-1.1697617;10.753489;-59.258415;-4.5149994;10.753489;-59.258415;-4.5149975;10.036139;-45.827824;-6.9272451;10.809796;-37.230721;-14.440784;11.331809;-29.800571;-20.800001;11.834421;-23.89069;-26.800377;12.371311;-19.54501;-32.641335;12.839279;-15.821083;-38.195061;13.499029;-13.405547;-44.664742;14.529327;-15.613273;-51.26582;15.461588;-19.512911;-56.705193
A_americana_YPM1513;-9.5993242;-11.721602;29.49913;-19.392954;-4.5294008;31.974197;-3.8501871;-2.0362468;30.240753;-9.0607185;-3.5187747;33.683617;-3.3927307;9.9527407;16.385742;-22.170616;14.683651;28.649132;-2.5235767;21.699327;6.4771118;-21.048599;32.912956;-1.2083211;-2.4124527;26.581665;-5.8041077;-2.4244077;43.036415;-10.835739;-37.081406;48.252895;21.268723;-16.561802;73.909119;17.092489;-2.4948111;84.556107;12.105955;-2.0854955;75.347351;19.774918;-2.0854957;75.347359;19.774921;-2.6733415;63.263294;31.420708;-3.0704317;49.94825;39.283165;-3.2883949;37.68927;43.815746;-3.389071;27.187035;45.56855;-3.4553182;18.668844;45.237305;-3.5659394;11.969341;43.600338;-3.7126977;6.874104;40.569954;-3.8383458;1.1651837;37.17865;-3.8501873;-2.036243;30.240753
Axis_axis_ZMB_45714;7.3670487;6.0211282;3.6194763;17.275795;-6.7580094;3.3171082;-0.36171722;-8.4338274;4.8668747;4.3613238;-9.2444801;7.8884583;0.06078124;-18.551889;-9.0981598;17.16256;-32.541019;1.0215759;-0.3809166;-34.753567;-18.273346;14.415009;-49.019421;-25.562111;-1.2628765;-53.219631;-33.838318;-1.1258755;-70.38208;-37.898773;30.147404;-67.43251;2.8853302;15.656601;-98.002144;-3.6889572;1.2100067;-112.05435;-9.5066032;0.34982491;-97.792427;2.3444824;0.34982422;-97.792435;2.3444879;0.39039519;-85.150551;12.821662;0.58741546;-70.815704;19.399426;0.57215035;-57.407688;22.17845;0.36427057;-45.844658;22.130877;0.27566499;-35.8517;22.295145;0.063493371;-27.771524;19.466482;-0.02284627;-21.366879;15.915165;-0.18357104;-13.259303;11.872565;-0.36171708;-8.4338284;4.8668752
Axis_axis_ZMB_9497;10.726576;4.3377385;47.680267;21.343847;-8.155426;41.591675;1.172147;-10.646438;45.547806;5.9416785;-10.880548;48.119293;0.90124321;-21.843142;29.234375;18.626465;-36.918568;39.794113;0.56095409;-37.693195;18.782944;15.924377;-50.491291;15.321737;-0.11357093;-53.499283;2.8455048;-0.27945423;-73.7323;-1.5830078;32.202583;-70.147545;38.245285;13.274268;-104.01304;39.600998;-2.6411481;-116.70055;33.595261;-2.1706166;-106.98566;38.933929;-2.1706164;-106.98566;38.933933;-0.96664411;-94.714722;52.60804;-0.054668188;-81.903412;60.778419;0.15341499;-69.347961;64.391769;0.19097644;-57.698559;65.782227;0.28774664;-46.94202;65.294693;0.52407396;-36.98595;62.987;0.92907435;-27.547325;60.054214;0.99554747;-18.477882;55.28606;1.1721467;-10.646438;45.547806
A_ensenadensis_U-4922;-23.294266;21.954502;94.15416;-13.522552;25.675613;87.702957;-27.932465;14.680824;78.558319;-20.243904;16.165419;82.899231;-29.875443;21.817564;61.155758;-6.7167525;16.5445;60.339409;-28.563934;19.762024;32.844753;-6.2093868;25.405735;19.512213;-30.566925;24.723192;12.022917;-22.70562;20.249052;-15.262817;21.580856;-3.1756377;14.094003;9.1361237;-24.779238;-7.7355127;-3.7350922;-30.768621;-38.208523;-5.6407928;-34.694408;-14.852238;-5.6407938;-34.694405;-14.852238;-6.8577671;-35.260887;3.9396522;-8.2235489;-34.300583;20.538284;-9.9193106;-32.707027;35.091755;-12.272786;-31.320145;48.073219;-14.933795;-26.479462;58.89994;-17.952971;-19.505527;67.927094;-20.800421;-9.0223646;73.440788;-24.351351;2.2779152;78.500183;-27.932465;14.680822;78.558319
Axis_porcinus_ZMB_75133;20.325676;-4.7011232;-6.7741203;29.88615;-10.93328;-10.383166;13.709925;-15.624815;-5.0240483;18.409344;-16.123999;-1.0505085;14.567295;-31.702938;-16.989861;34.46386;-39.07785;-5.7788963;16.187635;-44.764164;-22.239426;34.380264;-56.647003;-28.934647;17.818174;-60.35775;-36.823326;19.851894;-80.513397;-37.115295;50.079269;-61.628704;-6.1447525;38.829937;-91.110313;-0.99632645;22.755722;-106.31994;-1.5964317;22.025227;-93.201279;6.8233109;22.025227;-93.201279;6.8233161;20.789524;-84.181992;12.155359;19.854942;-75.196953;17.166693;18.863455;-66.352196;19.635668;17.818695;-57.640488;19.87055;16.920706;-49.005329;18.647598;16.353348;-40.001785;16.538803;15.713093;-30.440519;12.221052;14.702537;-21.134415;4.7792416;13.709925;-15.624814;-5.0240483
Axis_porcinus_ZMB_93538;-0.20501995;-204.50499;96.987198;-13.205235;-197.44327;91.924316;6.6060333;-188.81299;96.633911;1.8865409;-190.65904;99.931969;4.9758129;-179.69353;81.226318;-13.146835;-170.15613;92.338348;4.0812135;-164.84477;71.882751;-12.227859;-153.20087;64.39785;2.4573174;-143.30347;53.062359;0.6114502;-126.36349;49.731133;-30.138454;-136.89325;95.875854;-16.048172;-98.5429;92.62426;-1.7598476;-83.953217;83.267578;-2.8265796;-98.568108;96.005463;-2.8265791;-98.568108;96.005463;-2.3979249;-109.14618;108.61871;-0.59237719;-123.24176;114.76566;1.2528893;-136.27385;117.10255;2.8339326;-147.51453;116.773;3.99652;-157.1801;115.34732;4.8424621;-166.23586;113.65299;5.520154;-174.20708;109.74306;6.2616601;-182.84793;104.72936;6.6060328;-188.81299;96.633911
Cephalophus_leucogaster_AMNH52799(2);-9.9991808;-20.150295;22.462517;-19.786579;-10.763682;22.147972;-3.9180298;-6.779181;24.691151;-7.5206103;-7.7310181;24.721474;-3.4826508;1.381883;8.8268356;-16.388355;7.7476864;20.931334;-3.0709295;13.722518;-4.534111;-14.635399;25.417507;-13.87561;-2.777112;24.815464;-17.871132;-0.9937458;39.94083;-22.197182;-30.418655;38.26519;2.1581345;-18.47464;61.125843;1.6426353;-1.3561652;71.412567;3.4264145;-1.3493385;63.071892;8.8918457;-1.3493384;63.071892;8.8918438;-1.9137367;53.04491;16.677935;-2.5180676;43.641285;23.590628;-2.9210429;34.651913;28.033588;-3.155911;26.213333;30.476002;-3.2626112;18.392986;31.016365;-3.4408166;11.24152;30.821329;-3.7074757;4.6635799;30.467453;-3.850359;-1.3358455;28.20384;-3.9180298;-6.779181;24.691149
Capra_ibex_sibirica_54906;6.2888317;62.468925;158.74335;22.618362;56.181087;153.05243;-0.26935148;49.911175;164.17142;13.409912;53.819672;161.09;0.95754921;37.801907;138.2869;21.022606;36.850601;150.86169;1.252059;33.94165;131.01257;21.140213;20.366877;125.35487;0.55541325;21.606693;108.52157;1.2996171;-0.1503268;100.69742;37.754517;9.5065308;153.42435;16.059095;-28.965191;143.1174;0.6641655;-42.776031;125.27922;-0.026408672;-32.749912;147.11711;-0.026408659;-32.749912;147.11711;0.33960301;-21.508537;161.87247;0.66455549;-9.4538841;172.0771;0.27035448;2.3353903;177.63068;0.031451114;12.588578;181.57376;-0.37698728;21.78758;182.83818;-0.31548566;30.052242;182.30566;-0.070526049;37.613667;179.16199;0.57264441;44.759109;173.24493;-0.26935261;49.911175;164.17142
C_sumatraensis_8_10_9_11;11.388984;-134.05142;-32.292511;24.571255;-143.86008;-25.048279;3.9595141;-151.73161;-28.746887;10.301759;-152.23511;-23.14978;3.8423615;-162.68942;-40.013519;21.058563;-172.5233;-29.322701;3.3364449;-181.19514;-47.103867;23.505653;-205.8864;-51.55011;2.9969199;-206.29375;-60.826797;2.8890738;-235.72664;-56.643341;41.084953;-194.09062;-17.705643;19.294205;-248.63509;-1.3184204;2.7819729;-273.47388;-11.65053;2.4596357;-250.478;-1.5254517;2.4596357;-250.478;-1.5254359;2.5362096;-235.43614;3.2309675;2.6388645;-221.43942;6.4538794;2.726995;-208.49216;7.1946383;2.9312627;-196.49181;6.8511558;3.0967908;-185.56183;3.8103788;3.2621891;-175.80777;-1.5597314;3.547817;-165.67426;-7.2019477;3.5911441;-155.48924;-15.758539;3.9595139;-151.73161;-28.746887
